date,Microsoft
2014-03-20,77
2014-03-21,70
2014-03-22,59
2014-03-23,71
2014-03-24,79
2014-03-25,70
2014-03-26,75
2014-03-27,77
2014-03-28,100
2014-03-29,70
2014-03-30,59
2014-03-31,75
2014-04-01,85
2014-04-02,90
2014-04-03,92
2014-04-04,90
2014-04-05,58
2014-04-06,61
2014-04-07,94
2014-04-08,92
2014-04-09,81
2014-04-10,87
2014-04-11,84
2014-04-12,64
2014-04-13,59
2014-04-14,75
2014-04-15,75
2014-04-16,80
2014-04-17,80
2014-04-18,70
2014-04-19,70
2014-04-20,50
2014-04-21,79
2014-04-22,96
2014-04-23,87
2014-04-24,82
2014-04-25,81
2014-04-26,67
2014-04-27,60
2014-04-28,100
2014-04-29,90
2014-04-30,78
2014-05-01,81
2014-05-02,83
2014-05-03,63
2014-05-04,59
2014-05-05,94
2014-05-06,81
2014-05-07,94
2014-05-08,84
2014-05-09,78
2014-05-10,60
2014-05-11,55
2014-05-12,72
2014-05-13,78
2014-05-14,88
2014-05-15,76
2014-05-16,81
2014-05-17,67
2014-05-18,46
2014-05-19,83
2014-05-20,92
2014-05-21,83
2014-05-22,98
2014-05-23,76
2014-05-24,66
2014-05-25,61
2014-05-26,69
2014-05-27,76
2014-05-28,79
2014-05-29,93
2014-05-30,100
2014-05-31,54
2014-06-01,54
2014-06-02,99
2014-06-03,95
2014-06-04,100
2014-06-05,83
2014-06-06,96
2014-06-07,60
2014-06-08,63
2014-06-09,91
2014-06-10,94
2014-06-11,93
2014-06-12,87
2014-06-13,72
2014-06-14,53
2014-06-15,59
2014-06-16,83
2014-06-17,75
2014-06-18,87
2014-06-19,92
2014-06-20,85
2014-06-21,60
2014-06-22,62
2014-06-23,75
2014-06-24,93
2014-06-25,88
2014-06-26,76
2014-06-27,87
2014-06-28,57
2014-06-29,63
2014-06-30,82
2014-07-01,77
2014-07-02,98
2014-07-03,85
2014-07-04,81
2014-07-05,59
2014-07-06,51
2014-07-07,84
2014-07-08,83
2014-07-09,76
2014-07-10,98
2014-07-11,91
2014-07-12,58
2014-07-13,60
2014-07-14,79
2014-07-15,99
2014-07-16,94
2014-07-17,80
2014-07-18,77
2014-07-19,67
2014-07-20,59
2014-07-21,98
2014-07-22,83
2014-07-23,98
2014-07-24,90
2014-07-25,77
2014-07-26,62
2014-07-27,61
2014-07-28,89
2014-07-29,79
2014-07-30,95
2014-07-31,100
2014-08-01,81
2014-08-02,66
2014-08-03,66
2014-08-04,88
2014-08-05,93
2014-08-06,90
2014-08-07,100
2014-08-08,84
2014-08-09,66
2014-08-10,73
2014-08-11,77
2014-08-12,89
2014-08-13,89
2014-08-14,97
2014-08-15,99
2014-08-16,68
2014-08-17,67
2014-08-18,94
2014-08-19,100
2014-08-20,98
2014-08-21,80
2014-08-22,99
2014-08-23,70
2014-08-24,65
2014-08-25,90
2014-08-26,81
2014-08-27,93
2014-08-28,90
2014-08-29,91
2014-08-30,64
2014-08-31,73
2014-09-01,73
2014-09-02,99
2014-09-03,87
2014-09-04,97
2014-09-05,82
2014-09-06,63
2014-09-07,69
2014-09-08,92
2014-09-09,92
2014-09-10,99
2014-09-11,82
2014-09-12,94
2014-09-13,76
2014-09-14,59
2014-09-15,96
2014-09-16,91
2014-09-17,100
2014-09-18,89
2014-09-19,87
2014-09-20,58
2014-09-21,60
2014-09-22,79
2014-09-23,96
2014-09-24,96
2014-09-25,88
2014-09-26,81
2014-09-27,68
2014-09-28,72
2014-09-29,85
2014-09-30,77
2014-10-01,87
2014-10-02,74
2014-10-03,85
2014-10-04,63
2014-10-05,59
2014-10-06,84
2014-10-07,82
2014-10-08,88
2014-10-09,75
2014-10-10,86
2014-10-11,55
2014-10-12,62
2014-10-13,90
2014-10-14,79
2014-10-15,96
2014-10-16,98
2014-10-17,82
2014-10-18,69
2014-10-19,57
2014-10-20,96
2014-10-21,93
2014-10-22,100
2014-10-23,93
2014-10-24,82
2014-10-25,56
2014-10-26,61
2014-10-27,80
2014-10-28,92
2014-10-29,84
2014-10-30,88
2014-10-31,85
2014-11-01,73
2014-11-02,69
2014-11-03,83
2014-11-04,84
2014-11-05,75
2014-11-06,92
2014-11-07,89
2014-11-08,69
2014-11-09,67
2014-11-10,84
2014-11-11,84
2014-11-12,100
2014-11-13,77
2014-11-14,86
2014-11-15,66
2014-11-16,67
2014-11-17,85
2014-11-18,91
2014-11-19,82
2014-11-20,75
2014-11-21,74
2014-11-22,62
2014-11-23,62
2014-11-24,82
2014-11-25,87
2014-11-26,78
2014-11-27,88
2014-11-28,87
2014-11-29,63
2014-11-30,60
2014-12-01,92
2014-12-02,93
2014-12-03,93
2014-12-04,92
2014-12-05,98
2014-12-06,77
2014-12-07,63
2014-12-08,86
2014-12-09,90
2014-12-10,97
2014-12-11,96
2014-12-12,81
2014-12-13,73
2014-12-14,75
2014-12-15,84
2014-12-16,100
2014-12-17,89
2014-12-18,79
2014-12-19,88
2014-12-20,82
2014-12-21,80
2014-12-22,86
2014-12-23,84
2014-12-24,77
2014-12-25,95
2014-12-26,99
2014-12-27,83
2014-12-28,74
2014-12-29,85
2014-12-30,85
2014-12-31,79
2015-01-01,58
2015-01-02,81
2015-01-03,75
2015-01-04,68
2015-01-05,92
2015-01-06,95
2015-01-07,94
2015-01-08,84
2015-01-09,82
2015-01-10,69
2015-01-11,68
2015-01-12,70
2015-01-13,98
2015-01-14,91
2015-01-15,86
2015-01-16,75
2015-01-17,63
2015-01-18,61
2015-01-19,73
2015-01-20,87
2015-01-21,89
2015-01-22,93
2015-01-23,88
2015-01-24,69
2015-01-25,75
2015-01-26,82
2015-01-27,92
2015-01-28,80
2015-01-29,100
2015-01-30,91
2015-01-31,69
2015-02-01,67
2015-02-02,93
2015-02-03,99
2015-02-04,90
2015-02-05,81
2015-02-06,75
2015-02-07,65
2015-02-08,75
2015-02-09,81
2015-02-10,79
2015-02-11,82
2015-02-12,87
2015-02-13,75
2015-02-14,61
2015-02-15,72
2015-02-16,82
2015-02-17,93
2015-02-18,92
2015-02-19,86
2015-02-20,85
2015-02-21,68
2015-02-22,69
2015-02-23,88
2015-02-24,84
2015-02-25,87
2015-02-26,96
2015-02-27,100
2015-02-28,87
2015-03-01,72
2015-03-02,91
2015-03-03,84
2015-03-04,93
2015-03-05,100
2015-03-06,90
2015-03-07,71
2015-03-08,75
2015-03-09,98
2015-03-10,85
2015-03-11,94
2015-03-12,91
2015-03-13,89
2015-03-14,72
2015-03-15,62
2015-03-16,94
2015-03-17,91
2015-03-18,94
2015-03-19,83
2015-03-20,80
2015-03-21,75
2015-03-22,73
2015-03-23,87
2015-03-24,100
2015-03-25,89
2015-03-26,96
2015-03-27,86
2015-03-28,72
2015-03-29,73
2015-03-30,91
2015-03-31,84
2015-04-01,94
2015-04-02,80
2015-04-03,88
2015-04-04,69
2015-04-05,63
2015-04-06,68
2015-04-07,90
2015-04-08,100
2015-04-09,85
2015-04-10,89
2015-04-11,70
2015-04-12,76
2015-04-13,95
2015-04-14,92
2015-04-15,92
2015-04-16,82
2015-04-17,91
2015-04-18,76
2015-04-19,68
2015-04-20,91
2015-04-21,90
2015-04-22,95
2015-04-23,95
2015-04-24,81
2015-04-25,74
2015-04-26,86
2015-04-27,86
2015-04-28,95
2015-04-29,93
2015-04-30,91
2015-05-01,87
2015-05-02,93
2015-05-03,70
2015-05-04,97
2015-05-05,100
2015-05-06,100
2015-05-07,97
2015-05-08,91
2015-05-09,84
2015-05-10,76
2015-05-11,83
2015-05-12,97
2015-05-13,94
2015-05-14,98
2015-05-15,94
2015-05-16,78
2015-05-17,75
2015-05-18,86
2015-05-19,89
2015-05-20,95
2015-05-21,90
2015-05-22,93
2015-05-23,84
2015-05-24,67
2015-05-25,85
2015-05-26,89
2015-05-27,100
2015-05-28,85
2015-05-29,93
2015-05-30,77
2015-05-31,74
2015-06-01,86
2015-06-02,81
2015-06-03,94
2015-06-04,83
2015-06-05,94
2015-06-06,78
2015-06-07,73
2015-06-08,90
2015-06-09,89
2015-06-10,94
2015-06-11,85
2015-06-12,96
2015-06-13,85
